Blog	dirty	dogs	teacher	direction	chose	legs	garden	co	ball	taught	apart	dropped	k	previous	message	beauty	lines	english	november	thanksgiving	wet	flying	facebook	steps	hello	angel	towards	famous	stood	expected	mess	worst	system	celebrate	hell	teeth	practice	chicken	broke	grand	wind	unfortunately	sea	december	blood	y	program	sugar	nearly	holy	reality	parking	discovered	pack	north	absolutely	posts	section	article	herself	doctor	cross	gold	mix	lake	travel	inspired	focus	meaning	machine	buying	ladies	nose	teach	doors	visiting	latest	common	hospital	river	sale	everybody	bear	windows	l	cup	mood	bird	speed	seconds	island	board	changing	easily	brothers	lessons	screen	managed	brings	faces	sky	fix	runs	obviously	key	include	babies	agree	cd	throughout	series	race	la	player	asleep	based	actual	consider	animals	shut	literally	bottle	blow	likely	tiny	shape	possibly	checking	hadn	pre	build	available	radio	ate	falling	plays	nature	crowd	row	cards	adventure	copy	birth	relationship	charge	heat	comfortable	gifts	checked	basically	creative	slightly	scary	interest	familiar	online	beyond	presents	suppose	remembered	roll	clock	sell	horse	success	laid	weight	doubt	allow	blogs	cried	example	magic	south	soft	hungry	ya	wanting	push	reminds	bathroom	hearts	million	breath	clearly	official	candy	passing	cars	price	whose	v	pray	result	paying	saved	fat	ticket	whom	forgotten	lie	library	journey	strength	dr	points	tea	breaking	joined	ends	handle	perfectly	attempt	f	brand	notes	tour	storm	families	ups	drinking	member	regular	fashion	gas	goal	hole	seat	uncle	fighting	signs	bath	okay	classic	effort	pair	september	promised	grateful	advice	plenty	february	training	involved	schedule	harder	ending	younger	address	riding	easter	dressed	faster	cheap	sold	community	santa	results	kiss	according	boring	reminded	artist	lesson	willing	van	truck	america	sisters	catching	flat	issue	evil	concert	describe	halloween	contact	challenge	collection	items	freedom	film	prepared	barely	heads	kill	anniversary	whenever	james	content	background	disappointed	mountain	grandma	sang	sand	aunt	sometime	flight	swing	sight	jesus	spread	hall	till	nervous	orange	camp	angry	shall	bike	extremely	fans	purpose	holidays	lord	release	rolling	continued	terrible	nap	progress	comfort	nobody	helps	cost	nor	grew	fantastic	numbers	w	de	milk	wise	response	falls	sharing	raise	officially	becoming	certainly	j	mid	plane	moon	throwing	grade	otherwise	excuse	master	swimming	letters	yours	heading	impossible	addition	picking	walls	hardly	daddy	guest	interview	rocks	remind	besides	character	tall	account	smell	social	calm	bags	ring	image	faith	paint	greatest	health	folks	waste	lay	wide	tag	pants	bringing	laughed	period	term	states	bill	per	national	shower	review	album	blame	mini	opinion	bedroom	rule	plastic	edge	rich	houses	michael	hide	effect	wash	unique	animal	finishing	airport	pleasure	eve	listened	ear	emotional	classes	midnight	pages	force	fellow	text	york	apple	traffic	shared	quote	jack	yard	joke	finger	kinds	yellow	ah	accept	birds	pure	serve	invited	subject	aside	mirror	normally	currently	garage	block	cheese	compared	goodbye	clouds	grass	pics	leg	blast	offered	bored	shoot	honestly	delicious	happiness	related	student	forced	jumped	meal	via	draw	upset	signed	lyrics	french	stomach	excitement	discussion	pulling	position	expensive	knowledge	bet	apartment	hi	neither	students	path	enter	reached	painting	loose	among	credit	blessed	obvious	visited	healthy	east	projects	receive	generally	flower	various
Susanne Holm	6	2	1	2	0	6	2	4	1	10	2	0	3	0	10	0	1	27	11	0	4	0	14	2	0	2	0	3	1	0	2	0	7	1	0	1	1	29	2	0	11	1	24	6	0	8	4	11	0	0	4	5	4	1	25	6	3	0	0	0	1	6	2	19	0	2	0	0	0	7	8	4	3	2	2	10	5	5	1	0	3	21	1	2	15	4	3	14	4	0	112	1	4	1	0	1	6	0	1	3	5	2	1	0	2	2	2	1	4	0	3	0	84	2	0	1	0	0	3	0	0	15	0	2	6	0	0	2	0	1	3	2	2	0	0	0	8	2	4	3	6	1	0	29	4	8	1	0	6	0	0	0	3	1	2	0	0	1	0	2	4	20	9	3	2	1	29	0	6	0	0	7	0	15	2	14	0	1	0	1	3	3	0	7	1	0	1	1	7	13	0	2	2	10	3	1	22	3	1	2	1	0	1	0	0	0	1	0	5	3	7	1	0	7	4	0	9	1	2	0	4	0	2	1	2	11	3	0	0	1	2	4	16	0	0	7	22	7	0	0	1	5	1	8	6	0	1	4	6	0	9	8	1	0	3	0	1	1	6	1	2	0	4	1	6	0	0	3	2	0	3	1	0	0	1	1	11	0	4	0	5	4	14	3	1	5	2	0	2	0	2	0	19	2	9	8	2	0	3	1	1	51	1	0	10	0	3	4	6	0	6	0	0	0	2	2	0	4	7	3	4	0	2	21	2	3	3	0	1	0	0	68	10	0	0	0	1	0	0	1	0	0	0	3	4	0	0	0	5	0	6	3	0	0	3	3	1	12	4	1	4	0	1	4	0	0	2	2	6	0	1	4	0	2	2	7	0	2	1	1	0	1	0	0	1	2	3	3	2	5	22	2	5	0	0	3	1	2	6	1	2	2	0	8	0	2	0	5	0	3	1	4	0	3	0	0	1	2	0	0	1	0	2	0	3	1	1	0	0	12	3	2	0	5	0	2	6	1	7	9	0	0	7	29	0	0	2	49	0	3	1	2	0	1	0	2	0	0	1	41	1	0	0	0	2	94	1	0	1	1	1	0	7	1	0	0	0	3	1	0	35	0	3	0	2	2	2	14	27	22	0	1	0	35	3	1	3	8	0	6	0
No Witty Title	0	1	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	3	0	0	0	0	3	1	0	0	3	0	1	0	1	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	3	0	0	0	1	0	0	3	1	0	0	0	0	4	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	3	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	3	1	0	1	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	1	0	2	2	0	2	0	1	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	4	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	10	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	7	0	0	0	1	0	0	2	1	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	0	0	1
Idiosyncrasies of a Gemini Mind	31	1	18	5	4	30	2	27	7	6	16	16	5	1	9	10	16	5	6	8	6	11	7	7	24	2	20	5	17	11	25	23	8	3	59	29	15	9	17	9	16	1	3	9	46	0	4	18	50	24	10	31	7	16	12	44	21	8	5	9	78	3	8	3	1	8	1	14	9	12	27	25	19	6	8	12	6	6	59	2	11	3	17	13	5	22	51	6	20	37	2	11	12	7	10	6	13	32	5	7	10	12	9	24	5	4	21	9	12	12	3	4	2	3	18	1	18	11	5	13	23	25	13	5	35	12	22	18	16	9	7	3	16	33	14	3	5	3	6	15	2	10	13	16	5	13	4	3	26	22	16	7	22	9	5	3	16	8	4	11	47	18	2	8	3	21	7	10	6	23	11	11	4	1	11	17	7	9	10	1	44	2	10	21	4	10	11	7	12	6	1	8	5	26	10	3	5	16	6	14	14	0	3	2	2	12	8	8	1	16	6	7	16	18	6	9	2	11	4	7	20	2	25	7	22	0	9	21	25	16	8	13	109	4	6	40	5	11	2	2	2	3	7	3	7	15	8	9	16	4	15	20	5	10	1	1	4	11	19	3	13	4	4	43	8	6	17	1	7	7	4	12	5	13	3	7	4	2	6	5	3	0	16	26	7	15	6	15	23	8	10	0	12	21	4	3	8	20	2	6	8	6	3	30	67	6	10	2	9	8	0	14	1	6	17	12	1	19	7	28	25	2	6	7	2	9	2	7	32	7	2	1	26	12	3	2	2	9	2	16	4	9	11	5	3	13	13	18	12	1	0	3	7	26	2	4	8	11	5	21	3	18	4	12	31	4	6	7	26	8	31	10	18	4	5	13	4	12	1	4	36	8	3	33	12	39	8	6	7	17	15	1	44	11	1	3	5	5	84	8	6	7	0	8	1	8	10	23	1	13	4	5	8	2	10	10	15	5	6	2	16	2	4	3	1	4	4	1	1	12	9	11	12	7	26	10	5	7	1	2	2	3	9	8	19	9	8	25	2	6	5	2	5	12	4	6	15	7	19	16	17	12	3	14	22	21	6	9	13	6	2	2	36	14	3	16	6	4	0	12	53	29	14	2	7	2	9	11	12	2	3	5	12	9	16	4	5	9	21	5	8
Classifieds	0	2	0	0	0	0	0	0	0	2	8	0	72	5	0	5	1	9	2	3	2	4	1	0	0	2	4	1	0	0	4	1	4	1	2	0	0	2	3	1	0	3	2	5	0	0	0	8	2	0	3	0	1	3	1	4	3	1	10	3	1	1	1	3	0	15	1	0	1	4	4	0	2	3	1	4	1	2	0	1	1	2	1	0	2	2	3	0	1	0	0	1	2	0	0	6	0	6	2	0	4	0	0	2	1	2	0	1	1	2	2	2	0	1	1	1	0	4	0	2	2	0	1	0	1	1	2	2	3	1	1	0	0	0	0	0	1	2	0	1	2	0	0	0	0	1	0	3	6	6	0	0	0	2	2	1	1	0	2	0	0	0	0	0	1	0	4	1	1	5	0	3	2	0	0	0	4	3	1	3	1	0	6	2	0	0	1	0	0	0	3	0	6	0	3	1	1	3	2	1	4	0	4	5	0	4	0	1	0	0	0	0	0	1	1	1	0	2	5	2	2	0	0	2	0	0	0	0	1	2	1	0	2	6	1	1	0	0	0	2	0	3	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	2	3	0	0	4	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	3	15	0	0	0	0	1	1	1	0	0	0	3	1	1	0	1	2	1	0	0	0	0	0	1	2	1	1	1	2	2	1	0	1	1	1	2	0	0	1	1	0	2	0	1	0	0	1	0	0	3	1	0	0	0	5	0	1	0	0	0	0	1	0	0	1	2	0	1	1	3	1	2	2	3	0	0	1	0	0	0	0	1	2	0	0	0	0	0	2	1	0	1	1	0	4	1	0	0	0	2	0	1	3	0	2	1	0	2	1	0	0	0	2	11	0	2	0	0	1	2	2	0	3	1	0	2	0	2	1	4	0	0	0	1	0	1	2	6	1	0	1	1	1	0	0	1	4	1	0	0	1	2	1	1	1	2	0	0	0	2	0	0	12	0	0	2	0	2	0	0	0	1	1	0	0	1	2	3	1	1	2	0	1	1	1	0	0	0	12	0	0	5	4	0	1	0	2	0	0	0	4	0	2
contestatariobe	4	7	2	6	6	0	5	32	3	1	3	1	11	38	15	5	4	17	18	0	0	3	0	0	1	3	18	11	3	9	0	26	15	8	4	1	7	2	3	29	8	3	7	13	15	87	7	2	40	4	9	0	12	1	41	0	6	12	55	1	0	4	6	83	4	17	4	13	4	3	5	1	0	2	0	2	7	14	3	7	2	10	6	2	344	5	3	0	11	1	9	0	5	6	7	1	3	7	11	3	2	4	2	2	10	10	0	8	36	17	18	7	414	2	1	34	13	17	4	4	0	1	2	12	1	7	6	2	1	5	11	15	17	0	5	4	17	6	1	4	1	49	2	11	3	4	0	1	2	4	11	5	2	7	5	9	11	11	1	3	0	0	3	2	16	2	0	7	11	12	1	16	2	26	2	3	10	2	5	6	0	0	45	1	8	21	2	0	5	1	6	60	1	22	2	0	0	4	2	9	0	1	9	9	10	10	2	1	5	6	0	3	5	29	1	6	23	6	5	2	6	28	5	13	15	10	1	1	2	10	3	0	2	4	6	0	19	12	1	0	2	19	1	4	1	1	11	3	1	0	4	1	2	6	5	29	7	14	4	76	13	1	6	1	5	9	0	28	8	0	4	27	7	5	3	0	1	6	5	2	33	280	7	1	4	8	10	3	14	4	5	1	9	0	1	0	1	0	4	3	1	4	5	2	2	1	5	1	4	2	0	2	3	5	1	0	4	2	8	2	0	8	2	3	1	13	18	1	4	2	42	1500	5	1	1	3	1	5	3	8	43	65	10	1	6	0	0	4	6	2	0	2	1	2	10	3	2	3	8	1	2	4	0	3	1	11	0	12	0	45	0	3	1	12	11	2	9	22	2	7	1	7	0	2	3	0	9	12	77	20	36	31	0	7	28	7	2	17	1	7	5	8	20	5	11	1	10	2	17	7	2	12	4	2	3	1	8	2	6	2	30	6	14	29	9	4	2	0	2	1	2	0	2	0	2	15	1	7	3	4	12	0	4	0	5	0	3	0	6	2	2	2	0	1	0	3	2	1	0	2	15	4	3	14	0	0	9	1	0	3	2	29	1	0	4	2	8	5	7	5	0	7	8	5	9	5	4	3	3	68	2	1	1	3	2	27	8	2	6	3	19
To blog or not to blog	11	12	4	3	1	4	3	5	3	1	4	3	8	6	4	3	16	13	16	13	6	9	5	5	9	0	17	6	4	3	7	3	7	1	16	3	3	16	8	8	11	4	9	15	1	4	12	11	11	2	1	31	14	7	27	3	3	1	12	3	9	7	4	7	43	7	5	13	12	11	4	2	1	0	10	6	6	4	1	14	6	2	3	22	6	28	3	13	11	4	8	4	9	6	7	1	3	8	8	2	10	5	5	4	8	6	1	9	2	2	14	7	5	0	5	8	2	4	10	6	13	5	4	9	4	4	0	7	4	5	6	6	5	14	11	0	10	2	9	10	5	3	2	1	9	19	2	0	9	1	3	1	7	2	5	14	7	1	9	0	9	3	20	0	5	1	20	4	8	5	0	8	0	23	4	4	6	5	9	2	18	1	7	8	1	3	3	3	30	6	1	1	1	2	4	2	11	3	3	3	0	3	3	1	0	16	6	6	1	4	4	1	1	18	3	0	30	17	2	4	6	1	3	1	30	10	7	11	0	2	11	14	72	1	2	3	18	2	0	3	3	6	3	3	9	1	3	3	9	8	2	1	5	5	5	2	30	2	0	18	5	4	2	3	6	0	6	8	1	2	9	10	3	3	10	7	10	4	1	16	2	3	6	4	4	7	0	4	1	3	5	3	8	1	0	0	0	8	25	2	3	3	3	1	0	5	4	3	6	0	6	4	5	2	3	0	4	3	7	2	6	3	3	21	3	17	5	3	8	9	3	1	3	2	2	18	2	0	3	3	1	3	20	11	0	0	2	7	3	6	2	3	0	11	0	0	3	5	3	0	1	0	8	0	3	1	4	4	6	9	1	10	20	2	0	12	0	7	16	2	6	5	1	4	3	2	11	9	14	11	9	20	15	0	3	2	2	12	5	3	2	1	70	12	2	1	2	14	7	3	2	12	3	4	1	2	3	5	3	2	4	2	3	5	4	25	9	6	5	30	8	1	0	8	17	5	13	3	2	1	1	1	2	5	4	26	12	7	2	1	4	6	17	3	5	6	3	2	8	3	2	1	3	1	1	5	7	1	4	4	0	4	6	3	4	3	1	5	1	4	0	3	2	2	3	10	4	5	1	4	9	0	3	11	4	10	0	7	7	3	1
Sweet Infectious Confessions	1	5	2	2	5	0	0	2	1	1	3	2	5	3	3	3	0	8	1	2	2	0	7	0	2	8	1	0	2	1	0	6	1	5	7	0	9	4	5	0	4	1	2	8	2	2	0	1	12	10	2	2	1	2	0	4	1	0	1	4	0	4	3	0	0	1	0	1	9	1	0	0	3	2	0	1	0	0	7	2	0	0	4	3	2	0	2	0	0	2	3	2	1	0	0	3	1	8	1	6	0	0	0	1	0	6	2	2	4	13	1	1	4	4	7	3	0	1	0	0	5	0	2	0	2	0	0	2	1	2	1	1	0	0	7	3	4	1	0	2	1	3	2	3	3	1	2	2	0	1	2	3	1	2	0	3	1	10	0	1	0	5	0	0	1	1	1	0	2	2	6	0	1	0	1	2	3	1	0	0	2	3	1	1	1	1	0	0	1	1	2	0	4	1	0	1	2	1	2	0	2	0	1	2	0	2	2	1	3	2	3	0	0	0	0	1	0	1	0	2	1	1	0	2	0	1	0	0	1	3	0	1	6	0	0	2	0	3	2	2	0	1	0	1	1	2	2	5	0	0	10	0	1	0	1	1	0	3	10	0	2	0	2	0	6	1	0	2	0	2	0	2	1	3	4	0	4	0	1	0	3	0	2	1	1	3	0	1	0	0	2	2	1	3	6	5	0	0	0	0	1	13	2	3	15	1	0	15	3	8	13	1	1	3	1	21	0	1	8	2	4	1	2	0	0	0	3	2	1	1	0	0	1	0	1	1	1	2	1	1	0	4	0	0	0	0	2	0	0	1	3	2	6	0	1	1	1	0	0	0	2	0	2	1	18	0	1	1	1	4	1	1	3	0	4	1	0	1	2	4	2	0	15	0	0	1	0	2	1	0	0	0	0	1	0	0	1	1	1	2	2	0	0	0	2	1	0	1	3	3	0	0	0	4	2	2	1	2	3	0	2	3	3	2	3	0	0	0	6	0	3	1	0	0	18	3	0	1	0	0	1	1	2	1	5	0	1	2	2	1	0	0	4	0	2	0	6	1	10	1	3	1	4	0	0	1	1	0	5	0	2	3	0	0	0	0	0	1	0	2	0	1	2	1	1	4	7	0	0	0	0	2	0	1	2	0	0	2	1	0	1
The Life and Times of Angel Weed	2	14	1	6	2	17	11	5	10	4	4	4	0	5	4	3	3	1	0	0	5	6	0	2	4	12	10	1	5	2	3	12	0	0	7	5	0	20	3	1	5	3	2	0	3	2	1	3	18	0	1	0	6	4	0	15	2	2	0	7	4	1	3	0	0	7	2	3	4	0	1	1	6	7	3	1	1	0	7	1	1	0	11	2	0	4	7	5	4	5	0	3	4	2	2	6	4	11	3	5	2	3	2	9	1	3	3	2	2	5	0	9	3	2	6	1	0	1	8	6	3	3	4	0	4	2	6	2	18	0	4	0	0	1	10	2	3	4	0	0	2	2	2	0	3	0	2	1	1	0	1	5	8	0	2	1	1	0	12	5	0	7	2	4	2	5	8	3	3	2	1	3	0	7	4	1	0	2	4	2	2	5	0	15	4	1	2	7	2	6	1	0	0	1	6	2	1	1	3	6	4	4	2	4	1	2	3	0	1	2	1	2	5	0	1	2	2	2	3	5	8	0	4	4	2	2	4	2	0	6	0	2	12	1	2	7	0	4	10	8	2	1	2	4	0	5	2	23	1	2	0	6	5	0	0	2	0	0	3	2	6	1	0	8	0	4	0	1	6	5	2	2	1	0	2	0	1	1	0	1	2	0	5	7	4	3	1	13	2	2	0	0	5	1	0	7	0	2	11	1	11	0	5	0	16	6	3	2	1	18	8	2	0	0	2	0	2	5	1	5	1	1	1	10	3	1	8	1	0	1	0	4	15	1	0	3	1	4	0	9	14	1	0	11	2	1	0	2	3	0	2	1	1	1	3	0	2	1	11	5	0	9	2	3	4	11	1	1	12	0	3	3	0	0	3	0	3	2	0	1	20	1	3	1	1	3	1	1	1	1	3	2	5	0	0	2	1	0	2	2	0	1	0	0	0	6	4	0	3	7	1	3	3	0	1	6	2	0	0	3	2	0	0	3	0	2	0	0	0	2	4	0	0	3	3	3	8	1	1	2	3	5	3	14	1	0	3	0	2	1	9	5	0	7	1	0	2	2	10	3	10	0	1	0	8	1	0	2	3	2	2	0	11	7	0	5	1	0	0	1	8	1	1	2	3	0	7	0	6	0	1	5	2	1	3	0	0	2	2	4	1
If at first you don't succeed...	0	0	3	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	41	0	1	1	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	2	3	4	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	1	1	4	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	2	1	0	1	0	3	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	1	0	1	0	0	2	0	0	2	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	2	0	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	5	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0
Shovel and Plug	3	0	2	1	1	0	1	6	0	0	0	2	3	3	0	1	0	1	3	2	0	0	4	2	1	0	0	0	0	2	1	1	1	2	5	1	1	3	2	1	0	0	1	0	1	6	4	1	0	0	0	6	1	0	0	0	1	4	1	0	2	4	1	1	2	3	0	0	2	2	2	2	2	1	0	1	2	2	6	1	9	2	0	0	1	2	2	0	2	0	1	15	1	5	0	0	3	1	0	0	3	0	0	0	0	2	1	1	1	1	0	4	0	1	2	1	2	1	0	0	2	2	1	1	0	1	0	1	3	0	1	3	4	0	0	0	0	0	2	2	1	3	0	0	1	0	1	5	3	5	0	1	2	1	1	2	0	1	3	1	1	1	0	5	1	0	0	1	0	6	1	2	0	1	0	3	2	1	0	1	2	0	1	1	0	1	3	2	2	0	3	2	0	0	2	0	1	1	4	2	1	0	1	1	0	0	1	0	3	2	2	0	0	1	0	1	0	3	1	0	1	1	3	1	6	1	0	0	0	1	2	1	0	0	0	2	1	1	2	3	2	2	1	0	1	0	2	0	2	0	3	4	1	3	1	3	0	2	0	2	4	0	1	0	1	0	1	3	0	1	1	0	0	3	0	5	1	1	0	3	0	2	2	1	0	0	2	0	0	2	2	1	0	2	2	0	0	1	0	1	2	0	0	1	10	1	1	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	2	2	1	0	2	0	3	0	0	5	0	1	2	4	1	2	0	0	1	2	0	1	4	4	0	2	2	0	1	0	7	0	0	0	0	0	0	1	3	2	1	1	0	0	2	3	2	1	2	1	0	0	1	0	2	7	2	0	0	3	1	1	0	0	0	4	0	1	1	1	2	0	1	0	1	2	2	3	1	0	5	0	0	1	0	0	0	2	0	0	0	1	1	1	1	1	0	1	0	0	2	0	0	0	0	1	6	1	0	2	0	3	1	0	0	0	0	0	0	0	0	1	4	1	1	1	2	0	0	2	1	2	1	2	2	0	0	0	0	0	0	1	0	1	0	0	4	1	1	1	0	0	1	2	6	0	0	1	0	0	0	0	1	1	0	2	1	0	1	2	2	0	2	1	1	0	0	1
Let's Put the Kettle On	4	14	4	7	6	5	19	2	2	7	8	5	6	0	7	25	8	14	4	8	6	7	6	4	15	6	0	5	13	5	8	4	8	26	2	9	12	5	12	5	10	0	4	35	12	0	6	8	5	4	16	5	5	13	4	6	6	4	3	13	21	13	7	4	6	28	11	9	9	3	5	20	35	7	3	3	1	9	8	15	1	2	0	11	7	20	11	2	8	1	3	6	4	12	15	8	7	5	9	13	14	1	3	6	4	10	15	5	7	10	2	6	26	4	18	5	11	12	2	4	8	4	7	8	14	9	13	2	8	10	9	8	0	13	6	7	4	3	6	3	19	7	5	8	0	14	8	21	9	6	10	17	7	3	10	0	11	3	16	7	6	2	2	6	6	2	2	6	13	2	16	0	3	4	18	7	2	4	8	3	5	25	10	8	2	3	1	11	3	3	5	2	28	5	0	8	7	10	10	9	11	1	30	7	3	5	60	10	7	0	5	6	3	5	1	26	0	7	13	2	3	4	4	3	3	6	7	12	4	3	3	6	0	3	7	3	8	6	4	2	13	3	3	8	11	2	2	11	1	6	6	5	3	3	3	21	26	2	7	2	4	16	2	3	2	6	4	6	9	4	6	5	3	3	4	0	8	6	11	4	6	15	11	1	6	10	5	3	1	5	0	4	7	3	7	3	2	0	37	2	3	28	8	10	26	6	0	25	4	4	2	9	3	6	2	24	8	2	2	10	7	2	5	1	12	3	4	18	2	3	2	3	17	2	11	5	10	13	7	5	14	1	6	18	14	4	8	3	4	3	2	5	2	7	2	2	1	10	4	3	13	0	7	2	8	0	4	5	22	3	12	27	2	7	18	2	5	12	23	4	8	13	4	0	8	10	0	9	51	7	9	4	12	12	18	2	2	0	9	2	15	9	15	6	3	2	2	9	0	3	4	40	20	6	5	7	3	8	10	4	2	3	5	1	0	13	13	4	13	1	1	5	5	5	8	3	4	2	3	4	2	6	5	3	2	2	3	3	7	18	15	6	1	7	0	3	2	2	18	2	5	5	4	0	10	12	3	5	1	2	6	2	6	2	1	9	0	4	5	1	2	0	4	17	8	4	1	1	3	16	4	35	3	3	14	21	3	6	10	0	8
The Continuation - The Conclusion	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	1	2	0	0	1	1	1	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	2	0	2	1	1	0	2	1	1	2	1	1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	3	0	6	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	2	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
